theme,primeasset_ticker,ticker,weight,created,base_currency,sec_type,dest_currency
0.SGWealthSGD,2821.HK,2821.HK,1,2017-07-30,USD,USD,SGD
0.SGWealthSGD,Cash,Cash,1,2017-07-30,USD,USD,SGD
0.SGWealthSGD,EIMI.L,EIMI.L,1,2017-07-30,USD,USD,SGD
0.SGWealthSGD,EWS.N,EWS.N,1,2017-07-30,SGD,USD,SGD
0.SGWealthSGD,F00000MQNO.MSTA,F00000MQNO.MSTA,1,2017-07-30,SGD,USD,SGD
0.SGWealthSGD,F0HKG062UI.MSTA,F0HKG062UI.MSTA,1,2017-07-30,SGD,USD,SGD
0.SGWealthSGD,GLD.N,GLD.N,1,2017-07-30,USD,USD,SGD
0.SGWealthSGD,IAU.N,IAU.N,1,2017-07-30,USD,USD,SGD
0.SGWealthSGD,IHYG.L,IHYG.L,1,2017-07-30,EUR,USD,SGD
0.SGWealthSGD,IHYU.L,IHYU.L,1,2017-07-30,USD,USD,SGD
0.SGWealthSGD,IMEU.L,IMEU.L,1,2017-07-30,GBX,USD,SGD
0.SGWealthSGD,IPXJ.L,IPXJ.L,1,2017-07-30,USD,USD,SGD
0.SGWealthSGD,IUAG.L,IUAG.L,1,2017-07-30,USD,USD,SGD
0.SGWealthSGD,SJPA.L,SJPA.L,1,2017-07-30,GBX,USD,SGD
0.SGWealthSGD,VUSD.L,VUSD.L,1,2017-07-30,USD,USD,SGD
0.SGWealthSGD.Un,2821.HK,2821.HK,1,2017-07-30,USD,USD,SGD
0.SGWealthSGD.Un,Cash,Cash,1,2017-07-30,USD,USD,USD
0.SGWealthSGD.Un,EIMI.L,EIMI.L,1,2017-07-30,USD,USD,SGD
0.SGWealthSGD.Un,ES3.SI,ES3.SI,1,2017-07-30,SGD,USD,SGD
0.SGWealthSGD.Un,F0HKG062UI.MSTA,F0HKG062UI.MSTA,1,2017-07-30,SGD,USD,SGD
0.SGWealthSGD.Un,GLD.N,GLD.N,1,2017-07-30,USD,USD,SGD
0.SGWealthSGD.Un,IHYG.L,IHYG.L,1,2017-07-30,EUR,USD,SGD
0.SGWealthSGD.Un,IHYU.L,IHYU.L,1,2017-07-30,USD,USD,SGD
0.SGWealthSGD.Un,IMEU.L,IMEU.L,1,2017-07-30,GBX,USD,SGD
0.SGWealthSGD.Un,IPXJ.L,IPXJ.L,1,2017-07-30,USD,USD,SGD
0.SGWealthSGD.Un,IUAG.L,IUAG.L,1,2017-07-30,USD,USD,SGD
0.SGWealthSGD.Un,SJPA.L,SJPA.L,1,2017-07-30,GBX,USD,SGD
0.SGWealthSGD.Un,VUSD.L,VUSD.L,1,2017-07-30,USD,USD,SGD
8.UOB,EIMI.L,EIMI.L,1,2017-07-30,USD,USD,SGD
8.UOB,EWS.N,EWS.N,1,2017-07-30,USD,USD,SGD
8.UOB,F00000MQNO.MSTA,F00000MQNO.MSTA,1,2017-07-30,SGD,USD,SGD
8.UOB,F0HKG062UI.MSTA,F0HKG062UI.MSTA,1,2017-07-30,SGD,USD,SGD
8.UOB,IAU.N,IAU.N,1,2017-07-30,USD,USD,SGD
8.UOB,IEMB.L,IEMB.L,1,2017-07-30,USD,USD,SGD
8.UOB,IEML.L,IEML.L,1,2017-07-30,USD,USD,SGD
8.UOB,IHYG.L,IHYG.L,1,2017-07-30,EUR,USD,SGD
8.UOB,IHYU.L,IHYU.L,1,2017-07-30,USD,USD,SGD
8.UOB,IMEU.L,IMEU.L,1,2017-07-30,GBX,USD,SGD
8.UOB,IUAG.L,IUAG.L,1,2017-07-30,USD,USD,SGD
8.UOB,IVV.N,IVV.N,1,2017-07-30,USD,USD,SGD
8.UOB,KV4.SI,KV4.SI,1,2017-07-30,USD,USD,SGD
8.UOB,LQDE.L,LQDE.L,1,2017-07-30,USD,USD,SGD
8.UOB,SPY.N,SPY.N,1,2017-07-30,USD,USD,SGD
8.UOB,VUSD.L,1306.T,0.09,2017-07-30,JPY,USD,SGD
8.UOB,VUSD.L,VAS.AX,0.03,2017-07-30,AUD,USD,SGD
8.UOB,VUSD.L,VEUR.L,0.25,2017-07-30,GBP,USD,SGD
8.UOB,VUSD.L,VUSD.L,0.6,2017-07-30,USD,USD,SGD
8.UOB,VUSD.L,XIC.TO,0.03,2017-07-30,CAD,USD,SGD
8.UOB.Sing,EIMI.L,EIMI.L,1,2017-07-30,USD,NULL,SGD
8.UOB.Sing,EWS.N,EWS.N,1,2017-07-30,USD,NULL,SGD
8.UOB.Sing,F00000MQNO.MSTA,F00000MQNO.MSTA,1,2017-07-30,SGD,NULL,SGD
8.UOB.Sing,F0HKG062UI.MSTA,F0HKG062UI.MSTA,1,2017-07-30,SGD,NULL,SGD
8.UOB.Sing,IAU.N,IAU.N,1,2017-07-30,USD,NULL,SGD
8.UOB.Sing,IEMB.L,IEMB.L,1,2017-07-30,USD,USD,SGD
8.UOB.Sing,IEML.L,IEML.L,1,2017-07-30,USD,USD,SGD
8.UOB.Sing,IHYG.L,IHYG.L,1,2017-07-30,EUR,NULL,SGD
8.UOB.Sing,IHYU.L,IHYU.L,1,2017-07-30,USD,NULL,SGD
8.UOB.Sing,IMEU.L,IMEU.L,1,2017-07-30,GBX,NULL,SGD
8.UOB.Sing,IUAG.L,IUAG.L,1,2017-07-30,USD,NULL,SGD
8.UOB.Sing,IVV.N,IVV.N,1,2017-07-30,USD,USD,SGD
8.UOB.Sing,KV4.SI,KV4.SI,1,2017-07-30,USD,USD,SGD
8.UOB.Sing,LQDE.L,LQDE.L,1,2017-07-30,USD,USD,SGD
8.UOB.Sing,SPY.N,SPY.N,1,2017-07-30,USD,USD,SGD
8.UOB.Sing,VUSD.L,1306.T,0.09,2017-07-30,JPY,USD,SGD
8.UOB.Sing,VUSD.L,VAS.AX,0.03,2017-07-30,AUD,USD,SGD
8.UOB.Sing,VUSD.L,VEUR.L,0.25,2017-07-30,GBP,USD,SGD
8.UOB.Sing,VUSD.L,VUSD.L,0.6,2017-07-30,USD,NULL,SGD
8.UOB.Sing,VUSD.L,XIC.TO,0.03,2017-07-30,CAD,USD,SGD
T.0.SGWealthSGD,2821.HK,2821.HK,1,2017-07-30,USD,USD,SGD
T.0.SGWealthSGD,Cash,Cash,1,2017-07-30,USD,SGD,SGD
T.0.SGWealthSGD,EIMI.L,EIMI.L,1,2017-07-30,USD,USD,SGD
T.0.SGWealthSGD,EWS.N,EWS.N,1,2017-07-30,SGD,USD,SGD
T.0.SGWealthSGD,GLD.N,GLD.N,1,2017-07-30,USD,USD,SGD
T.0.SGWealthSGD,IHYG.L,IHYG.L,1,2017-07-30,EUR,USD,SGD
T.0.SGWealthSGD,IHYU.L,IHYU.L,1,2017-07-30,USD,USD,SGD
T.0.SGWealthSGD,IMEU.L,IMEU.L,1,2017-07-30,GBX,USD,SGD
T.0.SGWealthSGD,IPXJ.L,IPXJ.L,1,2017-07-30,USD,USD,SGD
T.0.SGWealthSGD,IUAG.L,IUAG.L,1,2017-07-30,USD,USD,SGD
T.0.SGWealthSGD,KV4.SI,KV4.SI,1,2017-07-30,SGD,USD,SGD
T.0.SGWealthSGD,SJPA.L,SJPA.L,1,2017-07-30,GBX,USD,SGD
T.0.SGWealthSGD,VUSD.L,VUSD.L,1,2017-07-30,USD,USD,SGD
T.8.UOB,2821.HK,2821.HK,1,2017-07-30,USD,USD,SGD
T.8.UOB,Cash,Cash,1,2017-07-30,USD,USD,USD
T.8.UOB,EIMI.L,EIMI.L,1,2017-07-30,USD,USD,SGD
T.8.UOB,ES3.SI,ES3.SI,1,2017-07-30,SGD,USD,SGD
T.8.UOB,GLD.N,GLD.N,1,2017-07-30,USD,USD,SGD
T.8.UOB,IHYG.L,IHYG.L,1,2017-07-30,EUR,USD,SGD
T.8.UOB,IHYU.L,IHYU.L,1,2017-07-30,USD,USD,SGD
T.8.UOB,IMEU.L,IMEU.L,1,2017-07-30,GBX,USD,SGD
T.8.UOB,IPXJ.L,IPXJ.L,1,2017-07-30,USD,USD,SGD
T.8.UOB,IUAG.L,IUAG.L,1,2017-07-30,USD,USD,SGD
T.8.UOB,KV4.SI,KV4.SI,1,2017-07-30,SGD,USD,SGD
T.8.UOB,SJPA.L,SJPA.L,1,2017-07-30,GBX,USD,SGD
T.8.UOB,VUSD.L,VUSD.L,1,2017-07-30,USD,USD,SGD
T.8.UOB.Sing,1306.T,1306.T,1,2017-07-30,JPY,USD,SGD
T.8.UOB.Sing,EIMI.L,EIMI.L,1,2017-07-30,USD,USD,SGD
T.8.UOB.Sing,EWS.N,EWS.N,1,2017-07-30,USD,USD,SGD
T.8.UOB.Sing,F00000MQNO.MSTA,F00000MQNO.MSTA,1,2017-07-30,SGD,USD,SGD
T.8.UOB.Sing,F0HKG062UI.MSTA,F0HKG062UI.MSTA,1,2017-07-30,SGD,USD,SGD
T.8.UOB.Sing,IAU.N,IAU.N,1,2017-07-30,USD,USD,SGD
T.8.UOB.Sing,IEMB.L,IEMB.L,1,2017-07-30,USD,USD,SGD
T.8.UOB.Sing,IEML.L,IEML.L,1,2017-07-30,USD,USD,SGD
T.8.UOB.Sing,IHYG.L,IHYG.L,1,2017-07-30,EUR,USD,SGD
T.8.UOB.Sing,IHYU.L,IHYU.L,1,2017-07-30,USD,USD,SGD
T.8.UOB.Sing,IMEU.L,IMEU.L,1,2017-07-30,GBX,USD,SGD
T.8.UOB.Sing,IUAG.L,IUAG.L,1,2017-07-30,USD,USD,SGD
T.8.UOB.Sing,IVV.N,IVV.N,1,2017-07-30,USD,USD,SGD
T.8.UOB.Sing,KV4.SI,KV4.SI,1,2017-07-30,USD,USD,SGD
T.8.UOB.Sing,LQDE.L,LQDE.L,1,2017-07-30,USD,USD,SGD
T.8.UOB.Sing,SPY.N,SPY.N,1,2017-07-30,USD,USD,SGD
T.8.UOB.Sing,VAS.AX,VAS.AX,1,2017-07-30,AUD,USD,SGD
T.8.UOB.Sing,VEUR.L,VEUR.L,1,2017-07-30,GBP,USD,SGD
T.8.UOB.Sing,VUSD.L,VUSD.L,1,2017-07-30,USD,USD,SGD
T.8.UOB.Sing,XIC.TO,XIC.TO,1,2017-07-30,CAD,USD,SGD
